"","freq","word","length"
"1",18,"lagrangian",10
"2",26,"consumer’s",10
"3",137,"problem",7
"4",91,"price",5
"5",31,"equals",6
"6",8,"kuhntucker",10
"7",27,"optimality",10
"8",75,"constraints",11
"9",119,"shown",5
"10",90,"solve",5
"11",511,"will",4
"12",99,"need",4
"13",72,"consider",8
"14",21,"cases",5
"15",54,"consumer",8
"16",4,"buys",4
"17",147,"case",4
"18",78,"must",4
"19",118,"equal",5
"20",57,"zero",4
"21",48,"simplify",8
"22",210,"since",5
"23",79,"implies",7
"24",37,"solving",7
"25",38,"budget",6
"26",84,"constraint",10
"27",28,"conclude",8
"28",12,"whenever",8
"29",11,"ppmc",4
"30",102,"group",5
"31",12,"members",7
"32",7,"devika",6
"33",8,"zach",4
"34",3,"simoni",6
"35",1,"mythili",7
"36",8,"animesh",7
"37",33,"december",8
"38",106,"exercise",8
"39",1,"allocating",10
"40",1,"consumptions",12
"41",15,"goods",5
"42",9,"across",6
"43",38,"consumers",9
"44",4,"called",6
"45",7,"tillip",6
"46",6,"quillip",7
"47",136,"utility",7
"48",188,"function",8
"49",10,"logt",4
"50",10,"logq",4
"51",18,"amount",6
"52",7,"consumes",8
"53",42,"social",6
"54",19,"endowment",9
"55",3,"consists",8
"56",20,"units",5
"57",81,"suppose",7
"58",4,"relative",8
"59",2,"representations",15
"60",47,"preferences",11
"61",4,"allo",4
"62",1,"cations",7
"63",12,"represented",11
"64",29,"welfare",7
"65",6,"functional",10
"66",101,"following",9
"67",39,"form",4
"68",11,"weighted",8
"69",29,"weight",6
"70",6,"lesser",6
"71",63,"greater",7
"72",85,"optimal",7
"73",2,"cation",6
"74",3,"depends",7
"75",1,"initial",7
"76",12,"endowments",10
"77",18,"examine",7
"78",226,"find",4
"79",40,"allocation",10
"80",99,"know",4
"81",37,"functions",9
"82",12,"undefined",9
"83",66,"also",4
"84",11,"locally",7
"85",10,"nonsatiated",11
"86",5,"monotonically",13
"87",49,"increasing",10
"88",33,"lastly",6
"89",56,"concave",7
"90",20,"focs",4
"91",16,"necessary",9
"92",24,"sufficient",10
"93",16,"system",6
"94",34,"equations",9
"95",42,"pareto",6
"96",17,"allocations",11
"97",13,"economy",7
"98",5,"solutions",9
"99",100,"assume",6
"100",7,"divided",7
"101",5,"sumer",5
"102",3,"getting",7
"103",88,"good",4
"104",12,"walrasian",9
"105",150,"equilibrium",11
"106",171,"first",5
"107",3,"consumers’",10
"108",34,"demand",6
"109",48,"note",4
"110",1,"normalizing",11
"111",27,"prices",6
"112",1,"equlibrium",10
"113",7,"particular",10
"114",11,"policy",6
"115",8,"maker",5
"116",1,"mellow",6
"117",6,"specifically",12
"118",1,"hopes",5
"119",1,"prevent",7
"120",1,"envying",7
"121",3,"defines",7
"122",7,"envyfree",8
"123",9,"rather",6
"124",3,"sumption",8
"125",14,"bundle",6
"126",29,"assigned",8
"127",5,"another",7
"128",1,"wishes",6
"129",32,"efficient",9
"130",1,"lazy",4
"131",1,"isn’t",5
"132",15,"willing",7
"133",24,"figure",6
"134",21,"list",4
"135",1,"blessed",7
"136",14,"well",4
"137",4,"exchange",8
"138",1,"economy—however",15
"139",1,"rearranges",10
"140",1,"finds",5
